Years in the past from 1950,Ice Volume,Temperature Anomaly,CO2 for Ice,Temperature for Ice
527186.0,23.0,4.132,271.6,216.0
527176.0,23.0,4.172,272.8,218.2
527166.0,23.0,4.191,271.5,218.8
527156.0,23.0,4.23,271.1,217.3
527146.0,23.0,4.25,269.1,218.9
527136.0,23.0,4.268,269.8,217.0
527126.0,23.0,4.305,271.5,216.5
527116.0,23.0,4.322,270.7,217.5
527106.0,23.0,4.338,269.3,217.8
527096.0,23.0,4.335,268.6,217.6
527086.0,23.0,4.351,269.8,217.2
527076.0,23.0,4.367,267.6,216.6
527066.0,23.0,4.363,265.3,217.9
527056.0,23.0,4.378,265.2,218.9
527046.0,23.0,4.373,267.6,217.1
527036.0,23.0,4.367,265.9,218.3
527026.0,23.0,4.359,265.5,216.8
527016.0,23.0,4.352,260.7,217.1
527006.0,23.0,4.343,266.7,216.7
526996.0,23.0,4.333,265.5,217.6
526986.0,23.0,4.324,263.2,217.7
526976.0,23.0,4.293,262.7,217.8
526966.0,23.0,4.281,261.2,217.0
526956.0,23.0,4.25,261.1,217.5
526946.0,23.0,4.217,259.4,217.4
526936.0,23.0,4.204,262.1,217.2
526926.0,23.0,4.171,262.9,218.5
526916.0,23.0,4.138,258.1,216.8
526906.0,23.0,4.084,257.6,216.3
526896.0,23.0,4.051,262.3,217.3
526886.0,23.0,4.018,263.0,217.2
526876.0,23.0,3.965,260.7,216.4
526866.0,23.0,3.933,258.4,217.2
526856.0,23.0,3.881,260.1,218.2
526846.0,23.0,3.828,260.4,217.8
526836.0,23.0,3.776,259.7,217.4
526826.0,23.0,3.725,259.2,217.5
526816.0,23.0,3.675,260.8,217.9
526806.0,23.0,3.625,259.6,218.5
526796.0,23.0,3.576,259.3,217.1
526786.0,23.0,3.506,258.3,216.9
526776.0,23.0,3.457,261.3,217.2
526766.0,23.0,3.389,260.7,217.3
526756.0,23.0,3.321,261.8,217.9
526746.0,23.0,3.254,259.0,216.6
526736.0,23.0,3.188,260.9,217.3
526726.0,23.0,3.122,260.4,217.4
526716.0,23.0,3.056,259.3,217.8
526706.0,23.0,2.991,262.0,218.1
526696.0,23.0,2.907,263.7,218.2
526686.0,23.0,2.844,263.8,217.8
526676.0,23.0,2.762,265.2,217.1
526666.0,23.0,2.7,260.6,217.4
526656.0,23.0,2.639,260.9,216.2
526646.0,23.0,2.558,263.0,217.3
526636.0,23.0,2.498,263.8,218.3
526626.0,23.0,2.44,264.4,217.4
526616.0,23.0,2.361,264.2,218.3
526606.0,23.0,2.304,264.0,217.3
526596.0,23.0,2.245,263.4,217.6
526586.0,23.0,2.187,265.7,218.1
526576.0,23.0,2.13,264.9,215.5
526566.0,23.0,2.074,267.5,216.5
526556.0,23.0,2.039,266.9,216.3
526546.0,23.0,1.985,266.0,217.5
526536.0,23.0,1.931,265.1,216.3
526526.0,23.0,1.879,267.6,215.4
526516.0,23.0,1.847,264.8,216.8
526506.0,23.1,1.796,264.8,217.6
526496.0,23.1,1.765,265.0,218.8
526486.0,23.1,1.718,265.3,217.3
526476.0,23.1,1.689,264.4,217.7
526466.0,23.1,1.663,264.1,216.9
526456.0,23.1,1.618,264.8062514925239,217.5
526446.0,23.1,1.593,264.8396344162771,217.4
526436.0,23.1,1.568,268.1638827775123,216.6
526426.0,23.1,1.544,264.4831386910426,218.2
526416.0,23.1,1.521,270.14345909208504,216.8
526406.0,23.1,1.499,268.86948241809176,219.0
526396.0,23.1,1.478,269.09658248435426,216.9
526386.0,23.1,1.456,267.1659882944808,218.5
526376.0,23.1,1.454,267.66344435702626,218.6
526366.0,23.1,1.431,269.5087267559184,216.6
526356.0,23.1,1.409,266.8975316078414,217.9
526346.0,23.1,1.404,262.7402713424808,218.2
526336.0,23.1,1.38,267.0926460402798,217.9
526326.0,23.1,1.375,260.7019637596007,217.1
526316.0,23.1,1.352,261.3035570908851,216.7
526306.0,23.1,1.347,266.2202091929294,216.9
526296.0,23.1,1.322,257.13429330946656,216.1
526286.0,23.1,1.315,247.5528586529488,217.1
526276.0,23.1,1.309,254.6155973344712,218.1
526266.0,23.1,1.301,253.99089690085395,217.6
