Antarctic Ice Vol Discharge (Gigatons per year),Transformed Year,CO2 (ppmv),Temperature (Kelvin)
-2084.8,4726,270.59024390243906,217.63935671681546
-2162.9,4736,270.5349593495935,217.63937117838685
-2181.2,4746,270.479674796748,217.63937692842956
-2159.5,4756,270.42439024390245,217.6393739669436
-2216.0,4766,270.3691056910569,217.639362293929
-2154.8,4776,270.3138211382114,217.63934190938568
-2204.1,4786,270.25853658536585,217.2
-2161.7,4796,270.2032520325203,217.63927500571305
-2235.3,4806,270.14796747967483,217.6392284865837
-2205.2,4816,270.0926829268293,217.63917325592567
-2229.6,4826,270.03739837398376,217.639109313739
-2407.5,4836,269.9821138211382,217.63903666002363
-2378.7,4846,269.9268292682927,217.63895529477958
-2463.6,4856,269.87154471544716,217.63886521800694
-2327.6,4866,269.8162601626016,217.63876642970553
-2399.7,4876,269.7609756097561,217.63865892987548
-2397.7,4886,269.7056910569106,217.4
-2376.2,4896,269.6504065040651,217.63841779562935
-2416.6,4906,269.59512195121954,217.5
-2417.0,4916,269.539837398374,217.6381418152685
-2520.6,4926,269.48455284552847,217.6379907577951
-2684.9,4936,269.42926829268293,217.63783098879304
-2644.1,4946,269.3739837398374,217.63766250826222
-2708.8,4956,269.31869918699186,217.63748531620277
-2727.2,4966,269.2634146341464,217.63729941261465
-2816.6,4976,269.20813008130085,217.63710479749787
-2667.0,4986,269.1528455284553,217.63690147085237
-2704.0,4996,269.0975609756098,217.63668943267828
-2624.0,5006,269.04227642276425,217.63646868297545
-2668.3,5016,268.9869918699187,217.63623922174398
-2736.2,5026,268.9317073170732,217.6360010489838
-2808.4,5036,268.87642276422764,217.6357541646949
-2718.0,5046,268.82113821138216,217.63549856887744
-2719.6,5056,268.7658536585366,217.63523426153125
-2762.6,5066,268.7105691056911,217.63496124265637
-2739.0,5076,268.65528455284556,217.63467951225283
-2715.5,5086,268.6,217.6343890703206
-2706.6,5096,268.56690140845075,217.63408991685972
-2714.5,5106,268.5338028169014,217.63378205187018
-2743.7,5116,268.50070422535214,217.63346547535193
-2736.4,5126,268.46760563380286,217.633140187305
-2680.9,5136,268.43450704225353,217.6328061877294
-2713.6,5146,268.40140845070425,217.63246347662516
-2727.2,5156,268.368309859155,217.63211205399224
-2666.5,5166,268.33521126760564,217.63175191983063
-2716.6,5176,268.30211267605637,217.6313830741403
-2696.8,5186,268.2690140845071,217.63100551692136
-2710.4,5196,268.23591549295776,217.6306192481737
-2780.7,5206,268.2028169014085,217.63022426789743
-2697.5,5216,268.16971830985915,217.62982057609244
-2760.6,5226,268.1366197183099,217.62940817275881
-2687.8,5236,268.1035211267606,217.62898705789647
-2708.3,5246,268.07042253521126,217.62855723150543
-2708.9,5256,268.037323943662,217.62811869358578
-2685.9,5266,268.0042253521127,217.62767144413743
-2692.6,5276,267.9711267605634,217.62721548316043
-2740.8,5286,267.9380281690141,217.6267508106547
-2835.9,5296,267.9049295774648,217.62627742662033
-2699.7,5306,267.8718309859155,217.62579533105728
-2670.1,5316,267.8387323943662,217.62530452396555
-2693.3,5326,267.80563380281694,217.62480500534514
-2700.8,5336,267.7725352112676,217.62429677519606
-2671.3,5346,267.73943661971833,217.62377983351834
-2740.3,5356,267.70633802816906,217.6232541803119
-2749.7,5366,267.6732394366197,217.6227198155768
-2731.2,5376,267.64014084507045,217.62217673931306
-2838.2,5386,267.6070422535212,217.62162495152057
-2765.1,5396,267.57394366197184,217.62106445219945
-2775.0,5406,267.54084507042256,217.6204952413497
-2689.8,5416,267.50774647887323,217.61991731897118
-2844.3,5426,267.47464788732395,217.6193306850641
-2690.9,5436,267.4415492957747,217.61873533962827
-2726.7,5446,267.40845070422534,217.61813128266377
-2796.6,5456,267.37535211267607,217.61751851417057
-2703.5,5466,267.3422535211268,217.61689703414876
-2727.1,5476,267.30915492957746,217.61626684259824
-2715.4,5486,267.2760563380282,217.61562793951904
-2785.4,5496,267.2429577464789,217.6149803249112
-2688.4,5506,267.2098591549296,217.61432399877467
-2676.7,5516,267.1767605633803,217.61365896110945
-2715.7,5526,267.143661971831,217.61298521191554
-2722.7,5536,267.1105633802817,217.61230275119297
-2679.7,5546,267.0774647887324,217.61161157894176
-2658.8,5556,267.04436619718314,217.61091169516186
-2656.6,5566,267.0112676056338,217.6102030998533
